colour	x	y	showSelected1	PANEL
#EE82EE	3	18	minimum	1
#EE82EE	22	96	minimum	1
#EE82EE	5	51	minimum	1
#EE82EE	5	52	minimum	1
#EE82EE	8	78	minimum	1
#EE82EE	5	53	minimum	1
#EE82EE	3	19	minimum	1
#EE82EE	7	73	minimum	1
#EE82EE	5	54	minimum	1
#EE82EE	2	4	minimum	1
#EE82EE	5	55	minimum	1
#EE82EE	2	5	minimum	1
#EE82EE	23	98	minimum	1
#EE82EE	6	66	minimum	1
#EE82EE	11	89	minimum	1
#EE82EE	8	79	minimum	1
#EE82EE	20	94	minimum	1
#EE82EE	21	94	minimum	1
#EE82EE	8	80	minimum	1
#EE82EE	8	81	minimum	1
#EE82EE	3	20	minimum	1
#EE82EE	3	21	minimum	1
#EE82EE	5	56	minimum	1
#EE82EE	8	82	minimum	1
#EE82EE	6	67	minimum	1
#EE82EE	5	57	minimum	1
#EE82EE	4	27	minimum	1
#EE82EE	8	83	minimum	1
#EE82EE	5	58	minimum	1
#EE82EE	25	100	minimum	1
#EE82EE	6	68	minimum	1
#EE82EE	9	85	minimum	1
#EE82EE	15	90	minimum	1
#EE82EE	16	90	minimum	1
#EE82EE	8	84	minimum	1
#EE82EE	5	32	minimum	2
#EE82EE	5	33	minimum	2
#EE82EE	8	85	minimum	2
#EE82EE	7	77	minimum	2
#EE82EE	3	4	minimum	2
#EE82EE	5	34	minimum	2
#EE82EE	4	28	minimum	2
#EE82EE	7	78	minimum	2
#EE82EE	5	35	minimum	2
#EE82EE	3	5	minimum	2
#EE82EE	5	36	minimum	2
#EE82EE	3	6	minimum	2
#EE82EE	5	37	minimum	2
#EE82EE	13	91	minimum	2
#EE82EE	5	38	minimum	2
#EE82EE	5	39	minimum	2
#EE82EE	3	7	minimum	2
#EE82EE	13	92	minimum	2
#EE82EE	7	79	minimum	2
#EE82EE	23	98	minimum	2
#EE82EE	5	40	minimum	2
#EE82EE	22	97	minimum	2
#EE82EE	6	71	minimum	2
#EE82EE	3	8	minimum	2
#EE82EE	5	41	minimum	2
#EE82EE	3	9	minimum	2
#EE82EE	5	42	minimum	2
#EE82EE	9	89	minimum	2
#EE82EE	4	29	minimum	2
#EE82EE	5	43	minimum	2
#EE82EE	5	44	minimum	2
#EE82EE	6	72	minimum	2
#EE82EE	19	95	minimum	2
#EE82EE	6	73	minimum	2
#EE82EE	3	10	minimum	2
#EE82EE	5	45	minimum	2
#EE82EE	5	46	minimum	2
#EE82EE	3	11	minimum	2
#EE82EE	4	30	minimum	2
#EE82EE	5	47	minimum	2
#EE82EE	5	48	minimum	2
#EE82EE	5	49	minimum	2
#EE82EE	7	80	minimum	2
#EE82EE	5	50	minimum	2
#EE82EE	5	51	minimum	2
#EE82EE	3	12	minimum	2
#EE82EE	5	52	minimum	2
#EE82EE	3	13	minimum	2
#EE82EE	3	14	minimum	2
#EE82EE	4	31	minimum	2
#EE82EE	3	15	minimum	2
#EE82EE	6	74	minimum	2
#EE82EE	7	81	minimum	2
#EE82EE	5	53	minimum	2
#EE82EE	19	96	minimum	2
#EE82EE	2	1	minimum	2
#EE82EE	3	16	minimum	2
#EE82EE	5	54	minimum	2
#EE82EE	6	75	minimum	2
#EE82EE	17	93	minimum	2
#EE82EE	5	55	minimum	2
#EE82EE	5	56	minimum	2
#EE82EE	5	57	minimum	2
#EE82EE	5	58	minimum	2
#EE82EE	3	17	minimum	2
#EE82EE	7	82	minimum	2
#EE82EE	5	59	minimum	2
#EE82EE	12	90	minimum	2
#EE82EE	3	18	minimum	2
#EE82EE	2	2	minimum	2
#EE82EE	24	99	minimum	2
#EE82EE	5	60	minimum	2
#EE82EE	5	61	minimum	2
#EE82EE	3	19	minimum	2
#EE82EE	5	62	minimum	2
#EE82EE	5	63	minimum	2
#EE82EE	18	94	minimum	2
#EE82EE	6	76	minimum	2
#EE82EE	2	3	minimum	2
#EE82EE	3	20	minimum	2
#EE82EE	5	64	minimum	2
#EE82EE	3	21	minimum	2
#EE82EE	8	86	minimum	2
#EE82EE	3	22	minimum	2
#EE82EE	5	65	minimum	2
#EE82EE	3	23	minimum	2
#EE82EE	8	87	minimum	2
#EE82EE	3	24	minimum	2
#EE82EE	7	83	minimum	2
#EE82EE	5	66	minimum	2
#EE82EE	5	67	minimum	2
#EE82EE	7	84	minimum	2
#EE82EE	3	25	minimum	2
#EE82EE	5	68	minimum	2
#EE82EE	5	69	minimum	2
#EE82EE	3	26	minimum	2
#EE82EE	24	100	minimum	2
#EE82EE	25	100	minimum	2
#EE82EE	8	88	minimum	2
#EE82EE	5	70	minimum	2
#EE82EE	3	27	minimum	2
