fill	x	y	PANEL	group	xmin	xmax	ymin	ymax
#E5E5E5	23	22	1	-1	22.5	23.5	21.5	22.5
#E5E5E5	24	22	1	-1	23.5	24.5	21.5	22.5
#E5E5E5	25	22	1	-1	24.5	25.5	21.5	22.5
#000000	1	23	1	-1	0.5	1.5	22.5	23.5
#7C7C7C	2	23	1	-1	1.5	2.5	22.5	23.5
#C9C9C9	3	23	1	-1	2.5	3.5	22.5	23.5
#FFFFFF	4	23	1	-1	3.5	4.5	22.5	23.5
#E3E3E3	5	23	1	-1	4.5	5.5	22.5	23.5
#E1E1E1	6	23	1	-1	5.5	6.5	22.5	23.5
#E4E4E4	7	23	1	-1	6.5	7.5	22.5	23.5
#E0E0E0	8	23	1	-1	7.5	8.5	22.5	23.5
#CBCBCB	9	23	1	-1	8.5	9.5	22.5	23.5
#CBCBCB	10	23	1	-1	9.5	10.5	22.5	23.5
#CDCDCD	11	23	1	-1	10.5	11.5	22.5	23.5
#CCCCCC	12	23	1	-1	11.5	12.5	22.5	23.5
#C7C7C7	13	23	1	-1	12.5	13.5	22.5	23.5
#BFBFBF	14	23	1	-1	13.5	14.5	22.5	23.5
#BEBEBE	15	23	1	-1	14.5	15.5	22.5	23.5
#BEBEBE	16	23	1	-1	15.5	16.5	22.5	23.5
#BFBFBF	17	23	1	-1	16.5	17.5	22.5	23.5
#BFBFBF	18	23	1	-1	17.5	18.5	22.5	23.5
#BFBFBF	19	23	1	-1	18.5	19.5	22.5	23.5
#BFBFBF	20	23	1	-1	19.5	20.5	22.5	23.5
#BFBFBF	21	23	1	-1	20.5	21.5	22.5	23.5
#BFBFBF	22	23	1	-1	21.5	22.5	22.5	23.5
#BFBFBF	23	23	1	-1	22.5	23.5	22.5	23.5
#BFBFBF	24	23	1	-1	23.5	24.5	22.5	23.5
#BFBFBF	25	23	1	-1	24.5	25.5	22.5	23.5
#000000	1	69	1	-1	0.5	1.5	68.5	69.5
#4E4E4E	2	69	1	-1	1.5	2.5	68.5	69.5
#919191	3	69	1	-1	2.5	3.5	68.5	69.5
#BDBDBD	4	69	1	-1	3.5	4.5	68.5	69.5
#FDFDFD	5	69	1	-1	4.5	5.5	68.5	69.5
#F9F9F9	6	69	1	-1	5.5	6.5	68.5	69.5
#FFFFFF	7	69	1	-1	6.5	7.5	68.5	69.5
#F0F0F0	8	69	1	-1	7.5	8.5	68.5	69.5
#EEEEEE	9	69	1	-1	8.5	9.5	68.5	69.5
#ECECEC	10	69	1	-1	9.5	10.5	68.5	69.5
#EDEDED	11	69	1	-1	10.5	11.5	68.5	69.5
#EDEDED	12	69	1	-1	11.5	12.5	68.5	69.5
#E7E7E7	13	69	1	-1	12.5	13.5	68.5	69.5
#E7E7E7	14	69	1	-1	13.5	14.5	68.5	69.5
#E7E7E7	15	69	1	-1	14.5	15.5	68.5	69.5
#E7E7E7	16	69	1	-1	15.5	16.5	68.5	69.5
#E4E4E4	17	69	1	-1	16.5	17.5	68.5	69.5
#E5E5E5	18	69	1	-1	17.5	18.5	68.5	69.5
#E6E6E6	19	69	1	-1	18.5	19.5	68.5	69.5
#E6E6E6	20	69	1	-1	19.5	20.5	68.5	69.5
#E6E6E6	21	69	1	-1	20.5	21.5	68.5	69.5
#E6E6E6	22	69	1	-1	21.5	22.5	68.5	69.5
#E6E6E6	23	69	1	-1	22.5	23.5	68.5	69.5
#E6E6E6	24	69	1	-1	23.5	24.5	68.5	69.5
#E6E6E6	25	69	1	-1	24.5	25.5	68.5	69.5
#000000	1	7	1	-1	0.5	1.5	6.5	7.5
#A6A6A6	2	7	1	-1	1.5	2.5	6.5	7.5
#FFFFFF	3	7	1	-1	2.5	3.5	6.5	7.5
#C1C1C1	4	7	1	-1	3.5	4.5	6.5	7.5
#D9D9D9	5	7	1	-1	4.5	5.5	6.5	7.5
#E1E1E1	6	7	1	-1	5.5	6.5	6.5	7.5
#E2E2E2	7	7	1	-1	6.5	7.5	6.5	7.5
#D9D9D9	8	7	1	-1	7.5	8.5	6.5	7.5
#DBDBDB	9	7	1	-1	8.5	9.5	6.5	7.5
#DBDBDB	10	7	1	-1	9.5	10.5	6.5	7.5
#DBDBDB	11	7	1	-1	10.5	11.5	6.5	7.5
#DBDBDB	12	7	1	-1	11.5	12.5	6.5	7.5
#DADADA	13	7	1	-1	12.5	13.5	6.5	7.5
#DADADA	14	7	1	-1	13.5	14.5	6.5	7.5
#DADADA	15	7	1	-1	14.5	15.5	6.5	7.5
#DADADA	16	7	1	-1	15.5	16.5	6.5	7.5
#D7D7D7	17	7	1	-1	16.5	17.5	6.5	7.5
#DDDDDD	18	7	1	-1	17.5	18.5	6.5	7.5
#DEDEDE	19	7	1	-1	18.5	19.5	6.5	7.5
#DCDCDC	20	7	1	-1	19.5	20.5	6.5	7.5
#DBDBDB	21	7	1	-1	20.5	21.5	6.5	7.5
#DCDCDC	22	7	1	-1	21.5	22.5	6.5	7.5
#DCDCDC	23	7	1	-1	22.5	23.5	6.5	7.5
#DCDCDC	24	7	1	-1	23.5	24.5	6.5	7.5
#DCDCDC	25	7	1	-1	24.5	25.5	6.5	7.5
#000000	1	91	1	-1	0.5	1.5	90.5	91.5
#939393	2	91	1	-1	1.5	2.5	90.5	91.5
#9E9E9E	3	91	1	-1	2.5	3.5	90.5	91.5
#B0B0B0	4	91	1	-1	3.5	4.5	90.5	91.5
#F8F8F8	5	91	1	-1	4.5	5.5	90.5	91.5
#F6F6F6	6	91	1	-1	5.5	6.5	90.5	91.5
#F5F5F5	7	91	1	-1	6.5	7.5	90.5	91.5
#F5F5F5	8	91	1	-1	7.5	8.5	90.5	91.5
#F5F5F5	9	91	1	-1	8.5	9.5	90.5	91.5
#F5F5F5	10	91	1	-1	9.5	10.5	90.5	91.5
#F4F4F4	11	91	1	-1	10.5	11.5	90.5	91.5
#F4F4F4	12	91	1	-1	11.5	12.5	90.5	91.5
#FEFEFE	13	91	1	-1	12.5	13.5	90.5	91.5
#FEFEFE	14	91	1	-1	13.5	14.5	90.5	91.5
#FEFEFE	15	91	1	-1	14.5	15.5	90.5	91.5
#FFFFFF	16	91	1	-1	15.5	16.5	90.5	91.5
#F4F4F4	17	91	1	-1	16.5	17.5	90.5	91.5
#F4F4F4	18	91	1	-1	17.5	18.5	90.5	91.5
#F4F4F4	19	91	1	-1	18.5	19.5	90.5	91.5
#F4F4F4	20	91	1	-1	19.5	20.5	90.5	91.5
#F4F4F4	21	91	1	-1	20.5	21.5	90.5	91.5
#F4F4F4	22	91	1	-1	21.5	22.5	90.5	91.5
#F4F4F4	23	91	1	-1	22.5	23.5	90.5	91.5
#F4F4F4	24	91	1	-1	23.5	24.5	90.5	91.5
#F4F4F4	25	91	1	-1	24.5	25.5	90.5	91.5
#000000	1	24	1	-1	0.5	1.5	23.5	24.5
#8E8E8E	2	24	1	-1	1.5	2.5	23.5	24.5
#D2D2D2	3	24	1	-1	2.5	3.5	23.5	24.5
#FFFFFF	4	24	1	-1	3.5	4.5	23.5	24.5
#F5F5F5	5	24	1	-1	4.5	5.5	23.5	24.5
#E9E9E9	6	24	1	-1	5.5	6.5	23.5	24.5
#ECECEC	7	24	1	-1	6.5	7.5	23.5	24.5
#EDEDED	8	24	1	-1	7.5	8.5	23.5	24.5
#EBEBEB	9	24	1	-1	8.5	9.5	23.5	24.5
#EAEAEA	10	24	1	-1	9.5	10.5	23.5	24.5
#EEEEEE	11	24	1	-1	10.5	11.5	23.5	24.5
#E7E7E7	12	24	1	-1	11.5	12.5	23.5	24.5
#E8E8E8	13	24	1	-1	12.5	13.5	23.5	24.5
#E6E6E6	14	24	1	-1	13.5	14.5	23.5	24.5
#E8E8E8	15	24	1	-1	14.5	15.5	23.5	24.5
#E5E5E5	16	24	1	-1	15.5	16.5	23.5	24.5
#E5E5E5	17	24	1	-1	16.5	17.5	23.5	24.5
#E5E5E5	18	24	1	-1	17.5	18.5	23.5	24.5
#E5E5E5	19	24	1	-1	18.5	19.5	23.5	24.5
#E5E5E5	20	24	1	-1	19.5	20.5	23.5	24.5
#E5E5E5	21	24	1	-1	20.5	21.5	23.5	24.5
#E5E5E5	22	24	1	-1	21.5	22.5	23.5	24.5
#E5E5E5	23	24	1	-1	22.5	23.5	23.5	24.5
#E6E6E6	24	24	1	-1	23.5	24.5	23.5	24.5
#E6E6E6	25	24	1	-1	24.5	25.5	23.5	24.5
#000000	1	70	1	-1	0.5	1.5	69.5	70.5
#2B2B2B	2	70	1	-1	1.5	2.5	69.5	70.5
#555555	3	70	1	-1	2.5	3.5	69.5	70.5
#787878	4	70	1	-1	3.5	4.5	69.5	70.5
#FCFCFC	5	70	1	-1	4.5	5.5	69.5	70.5
#FBFBFB	6	70	1	-1	5.5	6.5	69.5	70.5
#FFFFFF	7	70	1	-1	6.5	7.5	69.5	70.5
#FAFAFA	8	70	1	-1	7.5	8.5	69.5	70.5
#F9F9F9	9	70	1	-1	8.5	9.5	69.5	70.5
#FCFCFC	10	70	1	-1	9.5	10.5	69.5	70.5
#F9F9F9	11	70	1	-1	10.5	11.5	69.5	70.5
#F9F9F9	12	70	1	-1	11.5	12.5	69.5	70.5
#FAFAFA	13	70	1	-1	12.5	13.5	69.5	70.5
#F9F9F9	14	70	1	-1	13.5	14.5	69.5	70.5
#F9F9F9	15	70	1	-1	14.5	15.5	69.5	70.5
#FAFAFA	16	70	1	-1	15.5	16.5	69.5	70.5
#FBFBFB	17	70	1	-1	16.5	17.5	69.5	70.5
#FBFBFB	18	70	1	-1	17.5	18.5	69.5	70.5
#FBFBFB	19	70	1	-1	18.5	19.5	69.5	70.5
